metric,target_metric,correlation
gini_index_varies_by_country,civil_liberties_score__2022,-0.347394866
gini_index_varies_by_country,political_stability_&_absence_of_violence_2017,-0.33555463
gini_index_varies_by_country,political_stability_&_absence_of_violence_2021,-0.348460689
gini_index_varies_by_country,government_effectiveness_2017,-0.371339378
gini_index_varies_by_country,government_effectiveness_2021,-0.412233125
gini_index_varies_by_country,regulatory_quality_2017,-0.366801105
gini_index_varies_by_country,regulatory_quality_2021,-0.39695859
gini_index_varies_by_country,rule_of_law_2017,-0.356308898
gini_index_varies_by_country,rule_of_law_2021,-0.387121343
gini_index_varies_by_country,control_of_corruption_2017,-0.341762173
gini_index_varies_by_country,control_of_corruption_2021,-0.406736066
gini_index_varies_by_country,judicial_effectiveness_score_2018,-0.318928245
gini_index_varies_by_country,judicial_effectiveness_score_2022,-0.286879991
gini_index_varies_by_country,government_integrity_score_2018,-0.364715887
gini_index_varies_by_country,government_integrity_score_2022,-0.375556909
gini_index_varies_by_country,overall_economic_freedom_score_2017,-0.315010269
gini_index_varies_by_country,overall_economic_freedom_score_2022,-0.383715462
gini_index_varies_by_country,financial_freedom_score_2018,-0.257958668
gini_index_varies_by_country,financial_freedom_score_2022,-0.259985989
gini_index_varies_by_country,government_expenditure_(%_of_gdp)_2018,-0.411742765
gini_index_varies_by_country,co2e_emissions_per_capita_2019,-0.390530687
gini_index_varies_by_country,share_of_electricity_from_renewables_generation_2015,0.057957098
gini_index_varies_by_country,share_of_electricity_from_renewables_generation_2020_or_latest_year,0.013827293
gini_index_varies_by_country,%_of_seats_held_by_women_in_national_parliaments_2017,-0.22952032
gini_index_varies_by_country,%_of_seats_held_by_women_in_national_parliaments_2018,-0.198521052
gini_index_varies_by_country,%_of_seats_held_by_women_in_national_parliaments_2021,-0.207223954
gini_index_varies_by_country,military_spending_as_%_of_gdp_2021,0.018364757
gini_index_varies_by_country,military_spending_as_%_of_gdp_2019,0.026017953
happy_planet_index_2016,population_2018,0.184007401
happy_planet_index_2016,surface_area_(km2)_2018,-0.022003581
happy_planet_index_2016,gini_index_varies_by_country,-0.128600078
happy_planet_index_2016,happy_planet_index_2016,1
happy_planet_index_2016,happy_planet_index_2019,0.817362233
happy_planet_index_2016,human_development_index_2017,0.335396258
happy_planet_index_2016,human_development_index_2021,0.350188346
happy_planet_index_2016,sustainable_economic_development_assessment_(seda)_2018,0.305715989
happy_planet_index_2016,gdp_growth_(annual_%)_2018,0.044372865
happy_planet_index_2016,gdp_growth_(annual_%)_2021_or_latest_year,0.312865848
happy_planet_index_2016,gdp_($_usd_billions_ppp)_2018,0.409139718
happy_planet_index_2016,gdp_($_usd_billions_ppp)_2019,0.406219314
happy_planet_index_2016,gdp_($_usd_billions_ppp)_2020,0.398535317
happy_planet_index_2016,gdp_($_usd_billions_ppp)_2021,0.418048585
happy_planet_index_2016,gdp_per_capita_in_$_(ppp)_2018,0.286664327
happy_planet_index_2016,gdp_per_capita_in_$_(ppp)_2019,0.287613996
happy_planet_index_2016,gdp_per_capita_in_$_(ppp)_2020,0.289513687
happy_planet_index_2016,gdp_per_capita_in_$_(ppp)_2021,0.298325532
happy_planet_index_2016,economic_growth_2018,-0.058030679
happy_planet_index_2016,economic_growth_2021_or_latest,0.301294329
happy_planet_index_2016,health_expenditure_%_of_gdp_2014,0.146320666
happy_planet_index_2016,health_expenditure_%_of_gdp_2015,0.131298928
happy_planet_index_2016,health_expenditure_%_of_gdp_2016,0.138212601
happy_planet_index_2016,health_expenditure_%_of_gdp_2017,0.162323592
happy_planet_index_2016,health_expenditure_%_of_gdp_2018,0.140233049
happy_planet_index_2016,health_expenditure_%_of_gdp_2019,0.032653061
happy_planet_index_2016,health_expenditure_%_of_gdp_2020,0.092683455
happy_planet_index_2016,health_expenditure_%_of_gdp_2021,0.139393939
happy_planet_index_2016,health_expenditure_%_of_gdp_2021_or_latest,0.123047987
happy_planet_index_2016,health_expenditure_per_person_2015,0.265479616
happy_planet_index_2016,health_expenditure_per_person_2018,0.282640032
happy_planet_index_2016,health_expenditure_per_person_2019,0.289810863
happy_planet_index_2016,infant_mortality_2020,-0.124694505
happy_planet_index_2016,"maternal_mortality_per_100,000_live_births_2017_(latest_year)",-0.34984754
happy_planet_index_2016,education_expenditure_%_of_gdp_2014,0.106420101
happy_planet_index_2016,education_expenditure_%_of_gdp_2018,0.121833871
happy_planet_index_2016,education_expenditure_%_of_gdp_2021_or_latest_year,-0.023336888
happy_planet_index_2016,education_as_%_of_gdp_2018,0.114837006
happy_planet_index_2016,education_as_%_of_gdp_2021_or_latest,-0.012968701
happy_planet_index_2016,%_of_primary_school_aged_kids_out_of_school_2018,-0.413674055
happy_planet_index_2016,%_of_primary_school_aged_kids_out_of_school_2021_or_latest_year,-0.302212499
happy_planet_index_2016,unemployment_(%)_2018,-0.059377986
happy_planet_index_2016,unemployment_(%)_2021,0.03087276
happy_planet_index_2016,%_of_population_in_extreme_poverty_latest_year,-0.149426587
happy_planet_index_2016,%_of_population_with_access_to_electricity_2020,0.384568427
happy_planet_index_2016,political_rights_score__2018,0.280576958
happy_planet_index_2016,political_rights_score__2022,0.271241599
happy_planet_index_2016,civil_liberties_score__2018,0.242385857
happy_planet_index_2016,civil_liberties_score__2022,0.249419264
happy_planet_index_2016,political_stability_&_absence_of_violence_2017,0.161212292
happy_planet_index_2016,political_stability_&_absence_of_violence_2021,0.179048651
happy_planet_index_2016,government_effectiveness_2017,0.303522887
happy_planet_index_2016,government_effectiveness_2021,0.321081954
happy_planet_index_2016,regulatory_quality_2017,0.268006474
happy_planet_index_2016,regulatory_quality_2021,0.27776658
happy_planet_index_2016,rule_of_law_2017,0.216627404
happy_planet_index_2016,rule_of_law_2021,0.20669864
happy_planet_index_2016,control_of_corruption_2017,0.186753915
happy_planet_index_2016,control_of_corruption_2021,0.160985867
happy_planet_index_2016,judicial_effectiveness_score_2018,0.169549628
happy_planet_index_2016,judicial_effectiveness_score_2022,0.224573524
happy_planet_index_2016,government_integrity_score_2018,0.1819045
happy_planet_index_2016,government_integrity_score_2022,0.194162054
happy_planet_index_2016,overall_economic_freedom_score_2017,0.278488487
happy_planet_index_2016,overall_economic_freedom_score_2022,0.238261224
happy_planet_index_2016,financial_freedom_score_2018,0.235789953
happy_planet_index_2016,financial_freedom_score_2022,0.26145836
happy_planet_index_2016,government_expenditure_(%_of_gdp)_2018,0.017440974
happy_planet_index_2016,co2e_emissions_per_capita_2019,0.143315826
happy_planet_index_2016,share_of_electricity_from_renewables_generation_2015,0.120126962
happy_planet_index_2016,share_of_electricity_from_renewables_generation_2020_or_latest_year,0.190485342
happy_planet_index_2016,%_of_seats_held_by_women_in_national_parliaments_2017,0.185317229
happy_planet_index_2016,%_of_seats_held_by_women_in_national_parliaments_2018,0.213494535
happy_planet_index_2016,%_of_seats_held_by_women_in_national_parliaments_2021,0.232160871
happy_planet_index_2016,military_spending_as_%_of_gdp_2021,-0.082165808
happy_planet_index_2016,military_spending_as_%_of_gdp_2019,-0.135970892
happy_planet_index_2019,population_2018,0.102732291
happy_planet_index_2019,surface_area_(km2)_2018,-0.089302348
happy_planet_index_2019,gini_index_varies_by_country,-0.158770554
happy_planet_index_2019,happy_planet_index_2016,0.817362233
happy_planet_index_2019,happy_planet_index_2019,1
happy_planet_index_2019,human_development_index_2017,0.289343242
happy_planet_index_2019,human_development_index_2021,0.2895269
happy_planet_index_2019,sustainable_economic_development_assessment_(seda)_2018,0.288187762
happy_planet_index_2019,gdp_growth_(annual_%)_2018,0.015242987
happy_planet_index_2019,gdp_growth_(annual_%)_2021_or_latest_year,0.405452618
happy_planet_index_2019,gdp_($_usd_billions_ppp)_2018,0.284810566
happy_planet_index_2019,gdp_($_usd_billions_ppp)_2019,0.286090813
happy_planet_index_2019,gdp_($_usd_billions_ppp)_2020,0.279907099
happy_planet_index_2019,gdp_($_usd_billions_ppp)_2021,0.305317436
happy_planet_index_2019,gdp_per_capita_in_$_(ppp)_2018,0.216222334
happy_planet_index_2019,gdp_per_capita_in_$_(ppp)_2019,0.219381378
happy_planet_index_2019,gdp_per_capita_in_$_(ppp)_2020,0.224281336
happy_planet_index_2019,gdp_per_capita_in_$_(ppp)_2021,0.255545005
happy_planet_index_2019,economic_growth_2018,-0.024226408
happy_planet_index_2019,economic_growth_2021_or_latest,0.384723802
happy_planet_index_2019,health_expenditure_%_of_gdp_2014,0.169094003
happy_planet_index_2019,health_expenditure_%_of_gdp_2015,0.140900883
happy_planet_index_2019,health_expenditure_%_of_gdp_2016,0.134892547
happy_planet_index_2019,health_expenditure_%_of_gdp_2017,0.15357177
happy_planet_index_2019,health_expenditure_%_of_gdp_2018,0.103839944
happy_planet_index_2019,health_expenditure_%_of_gdp_2019,0.058427778
happy_planet_index_2019,health_expenditure_%_of_gdp_2020,0.129350118
happy_planet_index_2019,health_expenditure_%_of_gdp_2021,-0.454545455
happy_planet_index_2019,health_expenditure_%_of_gdp_2021_or_latest,0.172735935
happy_planet_index_2019,health_expenditure_per_person_2015,0.233048544
happy_planet_index_2019,health_expenditure_per_person_2018,0.253832064
happy_planet_index_2019,health_expenditure_per_person_2019,0.262383492
happy_planet_index_2019,infant_mortality_2020,-0.073708998
happy_planet_index_2019,"maternal_mortality_per_100,000_live_births_2017_(latest_year)",-0.330692541
happy_planet_index_2019,education_expenditure_%_of_gdp_2014,0.146314012
happy_planet_index_2019,education_expenditure_%_of_gdp_2018,0.089699407
happy_planet_index_2019,education_expenditure_%_of_gdp_2021_or_latest_year,0.027201599
happy_planet_index_2019,education_as_%_of_gdp_2018,0.077094601
happy_planet_index_2019,education_as_%_of_gdp_2021_or_latest,0.012566266
happy_planet_index_2019,%_of_primary_school_aged_kids_out_of_school_2018,-0.292458805
happy_planet_index_2019,%_of_primary_school_aged_kids_out_of_school_2021_or_latest_year,-0.186930775
happy_planet_index_2019,unemployment_(%)_2018,0.070883376
happy_planet_index_2019,unemployment_(%)_2021,0.068550455
happy_planet_index_2019,%_of_population_in_extreme_poverty_latest_year,-0.101467101
happy_planet_index_2019,%_of_population_with_access_to_electricity_2020,0.302241416
happy_planet_index_2019,political_rights_score__2018,0.308537916
happy_planet_index_2019,political_rights_score__2022,0.306059256
happy_planet_index_2019,civil_liberties_score__2018,0.301517153
happy_planet_index_2019,civil_liberties_score__2022,0.303940445
happy_planet_index_2019,political_stability_&_absence_of_violence_2017,0.1679986
happy_planet_index_2019,political_stability_&_absence_of_violence_2021,0.176203031
happy_planet_index_2019,government_effectiveness_2017,0.233570816
happy_planet_index_2019,government_effectiveness_2021,0.236685414
happy_planet_index_2019,regulatory_quality_2017,0.256486189
happy_planet_index_2019,regulatory_quality_2021,0.253520641
happy_planet_index_2019,rule_of_law_2017,0.152073925
happy_planet_index_2019,rule_of_law_2021,0.155841494
happy_planet_index_2019,control_of_corruption_2017,0.12257037
happy_planet_index_2019,control_of_corruption_2021,0.114601444
happy_planet_index_2019,judicial_effectiveness_score_2018,0.092130863
happy_planet_index_2019,judicial_effectiveness_score_2022,0.216586066
happy_planet_index_2019,government_integrity_score_2018,0.115048518
happy_planet_index_2019,government_integrity_score_2022,0.153393602
happy_planet_index_2019,overall_economic_freedom_score_2017,0.24850763
happy_planet_index_2019,overall_economic_freedom_score_2022,0.280526283
happy_planet_index_2019,financial_freedom_score_2018,0.259042355
happy_planet_index_2019,financial_freedom_score_2022,0.284536599
happy_planet_index_2019,government_expenditure_(%_of_gdp)_2018,0.105060896
happy_planet_index_2019,co2e_emissions_per_capita_2019,0.064314737
happy_planet_index_2019,share_of_electricity_from_renewables_generation_2015,0.098295386
happy_planet_index_2019,share_of_electricity_from_renewables_generation_2020_or_latest_year,0.171810616
happy_planet_index_2019,%_of_seats_held_by_women_in_national_parliaments_2017,0.293895415
happy_planet_index_2019,%_of_seats_held_by_women_in_national_parliaments_2018,0.315447411
happy_planet_index_2019,%_of_seats_held_by_women_in_national_parliaments_2021,0.337966626
happy_planet_index_2019,military_spending_as_%_of_gdp_2021,-0.097839297
happy_planet_index_2019,military_spending_as_%_of_gdp_2019,-0.160962847
human_development_index_2017,population_2018,-0.089699068
human_development_index_2017,surface_area_(km2)_2018,-0.166127982
human_development_index_2017,gini_index_varies_by_country,-0.433902716
human_development_index_2017,happy_planet_index_2016,0.335396258
human_development_index_2017,happy_planet_index_2019,0.289343242
human_development_index_2017,human_development_index_2017,1
human_development_index_2017,human_development_index_2021,0.977330081
human_development_index_2017,sustainable_economic_development_assessment_(seda)_2018,0.961034778
human_development_index_2017,gdp_growth_(annual_%)_2018,-0.264717185
human_development_index_2017,gdp_growth_(annual_%)_2021_or_latest_year,0.201665446
human_development_index_2017,gdp_($_usd_billions_ppp)_2018,0.484115475
human_development_index_2017,gdp_($_usd_billions_ppp)_2019,0.483765872
human_development_index_2017,gdp_($_usd_billions_ppp)_2020,0.475952629
human_development_index_2017,gdp_($_usd_billions_ppp)_2021,0.442514164
human_development_index_2017,gdp_per_capita_in_$_(ppp)_2018,0.943074549
human_development_index_2017,gdp_per_capita_in_$_(ppp)_2019,0.94422902
human_development_index_2017,gdp_per_capita_in_$_(ppp)_2020,0.944377427
human_development_index_2017,gdp_per_capita_in_$_(ppp)_2021,0.9455785
human_development_index_2017,economic_growth_2018,-0.221199644
human_development_index_2017,economic_growth_2021_or_latest,0.20833254
human_development_index_2017,health_expenditure_%_of_gdp_2014,0.307287755
human_development_index_2017,health_expenditure_%_of_gdp_2015,0.279655893
human_development_index_2017,health_expenditure_%_of_gdp_2016,0.34655692
human_development_index_2017,health_expenditure_%_of_gdp_2017,0.280084319
human_development_index_2017,health_expenditure_%_of_gdp_2018,0.26879921
human_development_index_2017,health_expenditure_%_of_gdp_2019,0.0940112
human_development_index_2017,health_expenditure_%_of_gdp_2020,0.122774799
human_development_index_2017,health_expenditure_%_of_gdp_2021,0.538461538
human_development_index_2017,health_expenditure_%_of_gdp_2021_or_latest,0.27773441
human_development_index_2017,health_expenditure_per_person_2015,0.946764812
human_development_index_2017,health_expenditure_per_person_2018,0.940132631
human_development_index_2017,health_expenditure_per_person_2019,0.946396073
human_development_index_2017,infant_mortality_2020,-0.124573341
human_development_index_2017,"maternal_mortality_per_100,000_live_births_2017_(latest_year)",-0.895788013
human_development_index_2017,education_expenditure_%_of_gdp_2014,0.28231816
human_development_index_2017,education_expenditure_%_of_gdp_2018,0.251522105
human_development_index_2017,education_expenditure_%_of_gdp_2021_or_latest_year,0.051769196
human_development_index_2017,education_as_%_of_gdp_2018,0.250594248
human_development_index_2017,education_as_%_of_gdp_2021_or_latest,0.097382836
human_development_index_2017,%_of_primary_school_aged_kids_out_of_school_2018,-0.690349573
