country,iso_country_code_2018,metric,value
Afghanistan,AFG,rule_of_law_2021,-1.871436119
Afghanistan,AFG,control_of_corruption_2017,-1.52
Afghanistan,AFG,control_of_corruption_2021,-1.1423769
Afghanistan,AFG,judicial_effectiveness_score_2018,28.2
Afghanistan,AFG,government_integrity_score_2018,26.2
Afghanistan,AFG,overall_economic_freedom_score_2017,51.3
Afghanistan,AFG,financial_freedom_score_2018,10
Afghanistan,AFG,government_expenditure_(%_of_gdp)_2018,26.3
Afghanistan,AFG,co2e_emissions_per_capita_2019,0.159824372
Afghanistan,AFG,share_of_electricity_from_renewables_generation_2015,0.861
Afghanistan,AFG,share_of_electricity_from_renewables_generation_2020_or_latest_year,0.828087213
Afghanistan,AFG,%_of_seats_held_by_women_in_national_parliaments_2017,27.7
Afghanistan,AFG,%_of_seats_held_by_women_in_national_parliaments_2021,27.01612903
Afghanistan,AFG,military_spending_as_%_of_gdp_2019,0.012
Albania,ALB,population_2018,2900000
Albania,ALB,surface_area_(km2)_2018,27398
Albania,ALB,gini_index_varies_by_country,29
Albania,ALB,happy_planet_index_2016,36.8
Albania,ALB,happy_planet_index_2019,51
Albania,ALB,human_development_index_2017,0.785
Albania,ALB,human_development_index_2021,0.796
Albania,ALB,sustainable_economic_development_assessment_(seda)_2018,53.1
Albania,ALB,gdp_growth_(annual_%)_2018,2.6
Albania,ALB,gdp_growth_(annual_%)_2021_or_latest_year,8.544083251
Albania,ALB,gdp_($_usd_billions_ppp)_2018,38.1717938
Albania,ALB,gdp_($_usd_billions_ppp)_2019,38.96884504
Albania,ALB,gdp_($_usd_billions_ppp)_2020,37.6120939
Albania,ALB,gdp_($_usd_billions_ppp)_2021,40.82570251
Albania,ALB,gdp_per_capita_in_$_(ppp)_2018,13498.13817
Albania,ALB,gdp_per_capita_in_$_(ppp)_2019,13999.42397
Albania,ALB,gdp_per_capita_in_$_(ppp)_2020,13632.18654
Albania,ALB,gdp_per_capita_in_$_(ppp)_2021,15646.04152
Albania,ALB,economic_growth_2018,4.019359685
Albania,ALB,economic_growth_2021_or_latest,8.544083251
Albania,ALB,health_expenditure_%_of_gdp_2014,3.049999952
Albania,ALB,health_expenditure_%_of_gdp_2015,3.437969923
Albania,ALB,health_expenditure_%_of_gdp_2016,3.962090015
Albania,ALB,health_expenditure_%_of_gdp_2017,3.611730099
Albania,ALB,health_expenditure_%_of_gdp_2019,3.916650057
Albania,ALB,health_expenditure_%_of_gdp_2020,3.099999905
Albania,ALB,health_expenditure_%_of_gdp_2021_or_latest,3.92
Albania,ALB,health_expenditure_per_person_2015,774
Albania,ALB,health_expenditure_per_person_2018,274.914093
Albania,ALB,infant_mortality_2020,2.4
Albania,ALB,"maternal_mortality_per_100,000_live_births_2017_(latest_year)",15
Albania,ALB,education_expenditure_%_of_gdp_2021_or_latest_year,3.099999905
Albania,ALB,education_as_%_of_gdp_2021_or_latest,3.1
Albania,ALB,%_of_primary_school_aged_kids_out_of_school_2018,2.557790041
Albania,ALB,%_of_primary_school_aged_kids_out_of_school_2021_or_latest_year,3.841929913
Albania,ALB,unemployment_(%)_2018,16.3
Albania,ALB,unemployment_(%)_2021,11.81900024
Albania,ALB,%_of_population_in_extreme_poverty_latest_year,0
Albania,ALB,%_of_population_with_access_to_electricity_2020,100
Albania,ALB,political_rights_score__2018,28
Albania,ALB,political_rights_score__2022,28
Albania,ALB,civil_liberties_score__2018,40
Albania,ALB,civil_liberties_score__2022,39
Albania,ALB,political_stability_&_absence_of_violence_2017,0.4
Albania,ALB,political_stability_&_absence_of_violence_2021,0.109445848
Albania,ALB,government_effectiveness_2017,0.08
Albania,ALB,government_effectiveness_2021,-0.003363639
Albania,ALB,regulatory_quality_2017,0.22
Albania,ALB,regulatory_quality_2021,0.192754015
Albania,ALB,rule_of_law_2017,-0.4
Albania,ALB,rule_of_law_2021,-0.256100863
Albania,ALB,control_of_corruption_2017,-0.42
Albania,ALB,control_of_corruption_2021,-0.555924177
Albania,ALB,judicial_effectiveness_score_2018,25.4
Albania,ALB,judicial_effectiveness_score_2022,49.8
Albania,ALB,government_integrity_score_2018,39.9
Albania,ALB,government_integrity_score_2022,35.6
Albania,ALB,overall_economic_freedom_score_2017,64.5
Albania,ALB,overall_economic_freedom_score_2022,66.6
Albania,ALB,financial_freedom_score_2018,70
Albania,ALB,financial_freedom_score_2022,70
Albania,ALB,government_expenditure_(%_of_gdp)_2018,30.1
Albania,ALB,co2e_emissions_per_capita_2019,1.69224832
Albania,ALB,share_of_electricity_from_renewables_generation_2015,1
Albania,ALB,share_of_electricity_from_renewables_generation_2020_or_latest_year,1
Albania,ALB,%_of_seats_held_by_women_in_national_parliaments_2017,27.9
Albania,ALB,%_of_seats_held_by_women_in_national_parliaments_2018,27.85714286
Albania,ALB,%_of_seats_held_by_women_in_national_parliaments_2021,35.71428571
Albania,ALB,military_spending_as_%_of_gdp_2021,0.014156359
Albania,ALB,military_spending_as_%_of_gdp_2019,0.013
Algeria,DZA,population_2018,41000000
Algeria,DZA,surface_area_(km2)_2018,2381740
Algeria,DZA,gini_index_varies_by_country,35.3
Algeria,DZA,happy_planet_index_2016,33.3
Algeria,DZA,happy_planet_index_2019,46.5
Algeria,DZA,human_development_index_2017,0.754
Algeria,DZA,human_development_index_2021,0.745
Algeria,DZA,sustainable_economic_development_assessment_(seda)_2018,45.8
Algeria,DZA,gdp_growth_(annual_%)_2018,3.7
Algeria,DZA,gdp_growth_(annual_%)_2021_or_latest_year,3.84779349
Algeria,DZA,gdp_($_usd_billions_ppp)_2018,491.1451568
Algeria,DZA,gdp_($_usd_billions_ppp)_2019,496.0566084
Algeria,DZA,gdp_($_usd_billions_ppp)_2020,470.7577213
Algeria,DZA,gdp_($_usd_billions_ppp)_2021,488.8715063
Algeria,DZA,gdp_per_capita_in_$_(ppp)_2018,11908.53761
Algeria,DZA,gdp_per_capita_in_$_(ppp)_2019,12008.26483
Algeria,DZA,gdp_per_capita_in_$_(ppp)_2020,11323.31222
Algeria,DZA,gdp_per_capita_in_$_(ppp)_2021,12037.48124
Algeria,DZA,economic_growth_2018,1.1
Algeria,DZA,economic_growth_2021_or_latest,3.84779349
Algeria,DZA,health_expenditure_%_of_gdp_2016,7.344359875
Algeria,DZA,health_expenditure_%_of_gdp_2017,6.505380154
Algeria,DZA,health_expenditure_%_of_gdp_2018,5.866350174
Algeria,DZA,health_expenditure_%_of_gdp_2019,6.100359917
Algeria,DZA,health_expenditure_%_of_gdp_2021_or_latest,6.1
Algeria,DZA,health_expenditure_per_person_2015,1031
Algeria,DZA,health_expenditure_per_person_2018,256.0094605
Algeria,DZA,health_expenditure_per_person_2019,248.2058716
Algeria,DZA,infant_mortality_2020,11.55134986
Algeria,DZA,"maternal_mortality_per_100,000_live_births_2017_(latest_year)",112
Algeria,DZA,education_expenditure_%_of_gdp_2018,5.866350174
Algeria,DZA,education_expenditure_%_of_gdp_2021_or_latest_year,6.100359917
Algeria,DZA,education_as_%_of_gdp_2018,5.866350174
Algeria,DZA,education_as_%_of_gdp_2021_or_latest,6.100359917
Algeria,DZA,%_of_primary_school_aged_kids_out_of_school_2018,0.352499992
Algeria,DZA,%_of_primary_school_aged_kids_out_of_school_2021_or_latest_year,0.177000001
Algeria,DZA,unemployment_(%)_2018,11.2
Algeria,DZA,unemployment_(%)_2021,12.70400047
Algeria,DZA,%_of_population_with_access_to_electricity_2020,99.80413055
Algeria,DZA,political_rights_score__2018,10
Algeria,DZA,political_rights_score__2022,10
Algeria,DZA,civil_liberties_score__2018,25
Algeria,DZA,civil_liberties_score__2022,22
Algeria,DZA,political_stability_&_absence_of_violence_2017,-0.96
Algeria,DZA,political_stability_&_absence_of_violence_2021,-0.876465023
Algeria,DZA,government_effectiveness_2017,-0.6
Algeria,DZA,government_effectiveness_2021,-0.620759845
Algeria,DZA,regulatory_quality_2017,-1.2
Algeria,DZA,regulatory_quality_2021,-1.17087245
Algeria,DZA,rule_of_law_2017,-0.86
Algeria,DZA,rule_of_law_2021,-0.816039979
Algeria,DZA,control_of_corruption_2017,-0.61
Algeria,DZA,control_of_corruption_2021,-0.614184439
Algeria,DZA,judicial_effectiveness_score_2018,35.2
Algeria,DZA,judicial_effectiveness_score_2022,29.7
Algeria,DZA,government_integrity_score_2018,29
Algeria,DZA,government_integrity_score_2022,30.1
Algeria,DZA,overall_economic_freedom_score_2017,44.7
Algeria,DZA,overall_economic_freedom_score_2022,45.8
Algeria,DZA,financial_freedom_score_2018,30
Algeria,DZA,financial_freedom_score_2022,30
Algeria,DZA,government_expenditure_(%_of_gdp)_2018,42.5
Algeria,DZA,co2e_emissions_per_capita_2019,3.977650459
Algeria,DZA,share_of_electricity_from_renewables_generation_2015,0.003
Algeria,DZA,share_of_electricity_from_renewables_generation_2020_or_latest_year,0.010914781
Algeria,DZA,%_of_seats_held_by_women_in_national_parliaments_2017,25.8
Algeria,DZA,%_of_seats_held_by_women_in_national_parliaments_2018,25.75757576
Algeria,DZA,%_of_seats_held_by_women_in_national_parliaments_2021,8.108108108
Algeria,DZA,military_spending_as_%_of_gdp_2021,0.055925841
Algeria,DZA,military_spending_as_%_of_gdp_2019,0.06
Angola,AGO,population_2018,30000000
Angola,AGO,surface_area_(km2)_2018,1246700
Angola,AGO,gini_index_varies_by_country,42.7
Angola,AGO,human_development_index_2017,0.581
Angola,AGO,human_development_index_2021,0.586
Angola,AGO,sustainable_economic_development_assessment_(seda)_2018,28.4
Angola,AGO,gdp_growth_(annual_%)_2018,3
Angola,AGO,gdp_growth_(annual_%)_2021_or_latest_year,0.700000005
Angola,AGO,gdp_($_usd_billions_ppp)_2018,215.1179202
Angola,AGO,gdp_($_usd_billions_ppp)_2019,213.6120948
Angola,AGO,gdp_($_usd_billions_ppp)_2020,201.8634296
Angola,AGO,gdp_($_usd_billions_ppp)_2021,203.2764736
Angola,AGO,gdp_per_capita_in_$_(ppp)_2018,7148.933253
Angola,AGO,gdp_per_capita_in_$_(ppp)_2019,6995.299736
Angola,AGO,gdp_per_capita_in_$_(ppp)_2020,6478.332182
Angola,AGO,gdp_per_capita_in_$_(ppp)_2021,6581.042021
Angola,AGO,economic_growth_2018,-1.316312102
Angola,AGO,economic_growth_2021_or_latest,0.700000005
Angola,AGO,health_expenditure_%_of_gdp_2014,3.122917652
Angola,AGO,health_expenditure_%_of_gdp_2015,3.4868958
Angola,AGO,health_expenditure_%_of_gdp_2016,2.754936457
Angola,AGO,health_expenditure_%_of_gdp_2017,2.466878891
Angola,AGO,health_expenditure_%_of_gdp_2018,2.044701338
Angola,AGO,health_expenditure_%_of_gdp_2019,1.927457333
Angola,AGO,health_expenditure_%_of_gdp_2020,2.415200233
Angola,AGO,health_expenditure_%_of_gdp_2021_or_latest,2.42
Angola,AGO,health_expenditure_per_person_2015,196
Angola,AGO,health_expenditure_per_person_2018,87.31073761
Angola,AGO,health_expenditure_per_person_2019,71.32600403
Angola,AGO,infant_mortality_2020,8.8
Angola,AGO,"maternal_mortality_per_100,000_live_births_2017_(latest_year)",241
Angola,AGO,education_expenditure_%_of_gdp_2018,2.044701338
Angola,AGO,education_expenditure_%_of_gdp_2021_or_latest_year,2.415200233
Angola,AGO,education_as_%_of_gdp_2018,2.044701338
Angola,AGO,education_as_%_of_gdp_2021_or_latest,2.415200233
Angola,AGO,unemployment_(%)_2018,6.6
Angola,AGO,unemployment_(%)_2021,8.529999733
Angola,AGO,%_of_population_in_extreme_poverty_latest_year,11.9
Angola,AGO,%_of_population_with_access_to_electricity_2020,46.89060974
Angola,AGO,political_rights_score__2018,10
Angola,AGO,political_rights_score__2022,10
Angola,AGO,civil_liberties_score__2018,16
Angola,AGO,civil_liberties_score__2022,20
Angola,AGO,political_stability_&_absence_of_violence_2017,-0.29
Angola,AGO,political_stability_&_absence_of_violence_2021,-0.710836232
Angola,AGO,government_effectiveness_2017,-1.03
Angola,AGO,government_effectiveness_2021,-1.059368968
Angola,AGO,regulatory_quality_2017,-1.04
Angola,AGO,regulatory_quality_2021,-0.662632108
Angola,AGO,rule_of_law_2017,-1.1
Angola,AGO,rule_of_law_2021,-0.952415645
Angola,AGO,control_of_corruption_2017,-1.41
Angola,AGO,control_of_corruption_2021,-0.655345798
Angola,AGO,judicial_effectiveness_score_2018,25.4
Angola,AGO,judicial_effectiveness_score_2022,25.3
Angola,AGO,government_integrity_score_2018,18.9
Angola,AGO,government_integrity_score_2022,20.6
Angola,AGO,overall_economic_freedom_score_2017,48.6
Angola,AGO,overall_economic_freedom_score_2022,52.6
Angola,AGO,financial_freedom_score_2018,40
Angola,AGO,financial_freedom_score_2022,40
Angola,AGO,government_expenditure_(%_of_gdp)_2018,32.1
Angola,AGO,co2e_emissions_per_capita_2019,0.792137069
Angola,AGO,share_of_electricity_from_renewables_generation_2015,0.545
Angola,AGO,share_of_electricity_from_renewables_generation_2020_or_latest_year,0.682207141
Angola,AGO,%_of_seats_held_by_women_in_national_parliaments_2017,38.2
Angola,AGO,%_of_seats_held_by_women_in_national_parliaments_2018,30.45454545
Angola,AGO,%_of_seats_held_by_women_in_national_parliaments_2021,29.54545455
Angola,AGO,military_spending_as_%_of_gdp_2021,0.011320598
Angola,AGO,military_spending_as_%_of_gdp_2019,0.016
Argentina,ARG,population_2018,44000000
Argentina,ARG,surface_area_(km2)_2018,2736690
Argentina,ARG,gini_index_varies_by_country,41.7
Argentina,ARG,happy_planet_index_2016,35.2
Argentina,ARG,happy_planet_index_2019,50
Argentina,ARG,human_development_index_2017,0.825
Argentina,ARG,human_development_index_2021,0.842
Argentina,ARG,sustainable_economic_development_assessment_(seda)_2018,57.3
Argentina,ARG,gdp_growth_(annual_%)_2018,1.2
Argentina,ARG,gdp_growth_(annual_%)_2021_or_latest_year,10.26376093
Argentina,ARG,gdp_($_usd_billions_ppp)_2018,1012.127189
Argentina,ARG,gdp_($_usd_billions_ppp)_2019,991.6221582
Argentina,ARG,gdp_($_usd_billions_ppp)_2020,893.4984785
Argentina,ARG,gdp_($_usd_billions_ppp)_2021,985.2050263
Argentina,ARG,gdp_per_capita_in_$_(ppp)_2018,23290.67574
Argentina,ARG,gdp_per_capita_in_$_(ppp)_2019,22997.39176
Argentina,ARG,gdp_per_capita_in_$_(ppp)_2020,20769.03238
Argentina,ARG,gdp_per_capita_in_$_(ppp)_2021,23627.39429
Argentina,ARG,economic_growth_2018,-2.617396463
Argentina,ARG,economic_growth_2021_or_latest,10.26376093
Argentina,ARG,health_expenditure_%_of_gdp_2014,5.361440182
Argentina,ARG,health_expenditure_%_of_gdp_2015,5.776110172
Argentina,ARG,health_expenditure_%_of_gdp_2016,5.545489788
Argentina,ARG,health_expenditure_%_of_gdp_2017,5.454319954
Argentina,ARG,health_expenditure_%_of_gdp_2018,4.877739906
Argentina,ARG,health_expenditure_%_of_gdp_2019,4.724170208
Argentina,ARG,health_expenditure_%_of_gdp_2021_or_latest,4.72
Argentina,ARG,health_expenditure_per_person_2015,1390
Argentina,ARG,health_expenditure_per_person_2018,1127.928467
Argentina,ARG,health_expenditure_per_person_2019,945.9919434
Argentina,ARG,infant_mortality_2020,9.7
Argentina,ARG,"maternal_mortality_per_100,000_live_births_2017_(latest_year)",39
Argentina,ARG,education_expenditure_%_of_gdp_2014,5.361440182
Argentina,ARG,education_expenditure_%_of_gdp_2018,4.877739906
Argentina,ARG,education_expenditure_%_of_gdp_2021_or_latest_year,4.724170208
Argentina,ARG,education_as_%_of_gdp_2018,4.877739906
Argentina,ARG,education_as_%_of_gdp_2021_or_latest,4.72
Argentina,ARG,%_of_primary_school_aged_kids_out_of_school_2018,0.403450012
Argentina,ARG,%_of_primary_school_aged_kids_out_of_school_2021_or_latest_year,0.422470003
Argentina,ARG,unemployment_(%)_2018,6.6
Argentina,ARG,unemployment_(%)_2021,10.90200043
Argentina,ARG,%_of_population_in_extreme_poverty_latest_year,0.3
Argentina,ARG,%_of_population_with_access_to_electricity_2020,100
Argentina,ARG,political_rights_score__2018,33
Argentina,ARG,political_rights_score__2022,35
Argentina,ARG,civil_liberties_score__2018,50
Argentina,ARG,civil_liberties_score__2022,49
Argentina,ARG,political_stability_&_absence_of_violence_2017,0.18
Argentina,ARG,political_stability_&_absence_of_violence_2021,-0.106366642
Argentina,ARG,government_effectiveness_2017,0.16
Argentina,ARG,government_effectiveness_2021,-0.356661767
Argentina,ARG,regulatory_quality_2017,-0.29
Argentina,ARG,regulatory_quality_2021,-0.618144751
Argentina,ARG,rule_of_law_2017,-0.25
Argentina,ARG,rule_of_law_2021,-0.462304175
Argentina,ARG,control_of_corruption_2017,-0.26
Argentina,ARG,control_of_corruption_2021,-0.400777549
Argentina,ARG,judicial_effectiveness_score_2018,44.5
Argentina,ARG,judicial_effectiveness_score_2022,57.9
Argentina,ARG,government_integrity_score_2018,32.6
Argentina,ARG,government_integrity_score_2022,45.1
Argentina,ARG,overall_economic_freedom_score_2017,52.3
Argentina,ARG,overall_economic_freedom_score_2022,50.1
Argentina,ARG,financial_freedom_score_2018,60
Argentina,ARG,financial_freedom_score_2022,60
Argentina,ARG,government_expenditure_(%_of_gdp)_2018,38.5
Argentina,ARG,co2e_emissions_per_capita_2019,3.740650291
Argentina,ARG,share_of_electricity_from_renewables_generation_2015,0.307
Argentina,ARG,share_of_electricity_from_renewables_generation_2020_or_latest_year,0.270583828
Argentina,ARG,%_of_seats_held_by_women_in_national_parliaments_2017,38.9
Argentina,ARG,%_of_seats_held_by_women_in_national_parliaments_2018,38.91050584
Argentina,ARG,%_of_seats_held_by_women_in_national_parliaments_2021,44.74708171
Argentina,ARG,military_spending_as_%_of_gdp_2021,0.00565318
Argentina,ARG,military_spending_as_%_of_gdp_2019,0.007
Armenia,ARM,population_2018,3000000
Armenia,ARM,surface_area_(km2)_2018,28203
Armenia,ARM,gini_index_varies_by_country,31.5
Armenia,ARM,happy_planet_index_2016,25.7
Armenia,ARM,happy_planet_index_2019,54.7
Armenia,ARM,human_development_index_2017,0.755
Armenia,ARM,human_development_index_2021,0.759
Armenia,ARM,sustainable_economic_development_assessment_(seda)_2018,51.7
Armenia,ARM,gdp_growth_(annual_%)_2018,3
Armenia,ARM,gdp_growth_(annual_%)_2021_or_latest_year,5.7
Armenia,ARM,gdp_($_usd_billions_ppp)_2018,37.53170842
Armenia,ARM,gdp_($_usd_billions_ppp)_2019,40.38411826
Armenia,ARM,gdp_($_usd_billions_ppp)_2020,37.39569351
Armenia,ARM,gdp_($_usd_billions_ppp)_2021,39.52724804
Armenia,ARM,gdp_per_capita_in_$_(ppp)_2018,13018.87429
Armenia,ARM,gdp_per_capita_in_$_(ppp)_2019,14230.01487
Armenia,ARM,gdp_per_capita_in_$_(ppp)_2020,13311.02814
Armenia,ARM,gdp_per_capita_in_$_(ppp)_2021,14630.24422
Armenia,ARM,economic_growth_2018,5.2
Armenia,ARM,economic_growth_2021_or_latest,5.7
Armenia,ARM,health_expenditure_%_of_gdp_2014,2.247240067
Armenia,ARM,health_expenditure_%_of_gdp_2015,2.80591011
Armenia,ARM,health_expenditure_%_of_gdp_2016,2.75812006
Armenia,ARM,health_expenditure_%_of_gdp_2017,2.707590103
Armenia,ARM,health_expenditure_%_of_gdp_2018,2.255870104
Armenia,ARM,health_expenditure_%_of_gdp_2019,2.561850071
Armenia,ARM,health_expenditure_%_of_gdp_2020,2.705670118
Armenia,ARM,health_expenditure_%_of_gdp_2021_or_latest,2.71
Armenia,ARM,health_expenditure_per_person_2015,883
Armenia,ARM,health_expenditure_per_person_2018,422.2826843
Armenia,ARM,health_expenditure_per_person_2019,523.9990845
Armenia,ARM,"maternal_mortality_per_100,000_live_births_2017_(latest_year)",26
Armenia,ARM,education_expenditure_%_of_gdp_2014,2.247240067
Armenia,ARM,education_expenditure_%_of_gdp_2018,2.255870104
Armenia,ARM,education_expenditure_%_of_gdp_2021_or_latest_year,2.705670118
Armenia,ARM,education_as_%_of_gdp_2018,2.255870104
Armenia,ARM,education_as_%_of_gdp_2021_or_latest,2.705670118
Armenia,ARM,%_of_primary_school_aged_kids_out_of_school_2018,6.905220032
Armenia,ARM,%_of_primary_school_aged_kids_out_of_school_2021_or_latest_year,10.47731018
Armenia,ARM,unemployment_(%)_2018,16.8
Armenia,ARM,unemployment_(%)_2021,20.89699936
Armenia,ARM,%_of_population_in_extreme_poverty_latest_year,0.1
Armenia,ARM,%_of_population_with_access_to_electricity_2020,100
Armenia,ARM,political_rights_score__2018,15
Armenia,ARM,political_rights_score__2022,23
Armenia,ARM,civil_liberties_score__2018,30
Armenia,ARM,civil_liberties_score__2022,32
Armenia,ARM,political_stability_&_absence_of_violence_2017,-0.71
Armenia,ARM,political_stability_&_absence_of_violence_2021,-0.83559227
Armenia,ARM,government_effectiveness_2017,-0.1
Armenia,ARM,government_effectiveness_2021,-0.249556035
Armenia,ARM,regulatory_quality_2017,0.28
Armenia,ARM,regulatory_quality_2021,0.145152628
Armenia,ARM,rule_of_law_2017,-0.16
Armenia,ARM,rule_of_law_2021,-0.095904246
Armenia,ARM,control_of_corruption_2017,-0.56
Armenia,ARM,control_of_corruption_2021,0.072149873
Armenia,ARM,judicial_effectiveness_score_2018,47.4
Armenia,ARM,judicial_effectiveness_score_2022,33.1
Armenia,ARM,government_integrity_score_2018,40.5
Armenia,ARM,government_integrity_score_2022,50.8
Armenia,ARM,overall_economic_freedom_score_2017,68.7
Armenia,ARM,overall_economic_freedom_score_2022,65.3
Armenia,ARM,financial_freedom_score_2018,70
Armenia,ARM,financial_freedom_score_2022,70
Armenia,ARM,government_expenditure_(%_of_gdp)_2018,25.8
Armenia,ARM,co2e_emissions_per_capita_2019,2.086060678
Armenia,ARM,share_of_electricity_from_renewables_generation_2015,0.296
Armenia,ARM,share_of_electricity_from_renewables_generation_2020_or_latest_year,0.245734776
Armenia,ARM,%_of_seats_held_by_women_in_national_parliaments_2017,18.1
Armenia,ARM,%_of_seats_held_by_women_in_national_parliaments_2018,18.0952381
Armenia,ARM,%_of_seats_held_by_women_in_national_parliaments_2021,33.64485981
Armenia,ARM,military_spending_as_%_of_gdp_2021,0.044401211
Armenia,ARM,military_spending_as_%_of_gdp_2019,0.049
Australia,AUS,population_2018,25000000
Australia,AUS,surface_area_(km2)_2018,7682300
Australia,AUS,gini_index_varies_by_country,30.3
Australia,AUS,happy_planet_index_2016,21.2
Australia,AUS,happy_planet_index_2019,43.1
Australia,AUS,human_development_index_2017,0.939
Australia,AUS,human_development_index_2021,0.951
Australia,AUS,sustainable_economic_development_assessment_(seda)_2018,78.9
Australia,AUS,gdp_growth_(annual_%)_2018,2.5
Australia,AUS,gdp_growth_(annual_%)_2021_or_latest_year,1.475162883
Australia,AUS,gdp_($_usd_billions_ppp)_2018,1224.878851
Australia,AUS,gdp_($_usd_billions_ppp)_2019,1250.762371
Australia,AUS,gdp_($_usd_billions_ppp)_2020,1250.714385
Australia,AUS,gdp_($_usd_billions_ppp)_2021,1269.164459
Australia,AUS,gdp_per_capita_in_$_(ppp)_2018,50169.18729
Australia,AUS,gdp_per_capita_in_$_(ppp)_2019,51748.39772
Australia,AUS,gdp_per_capita_in_$_(ppp)_2020,53316.88543
Australia,AUS,gdp_per_capita_in_$_(ppp)_2021,55807.44402
Australia,AUS,economic_growth_2018,2.87097248
Australia,AUS,economic_growth_2021_or_latest,1.475162883
Australia,AUS,health_expenditure_%_of_gdp_2014,5.164690018
Australia,AUS,health_expenditure_%_of_gdp_2015,5.315839767
Australia,AUS,health_expenditure_%_of_gdp_2016,5.286230087
Australia,AUS,health_expenditure_%_of_gdp_2017,5.136809826
Australia,AUS,health_expenditure_%_of_gdp_2018,5.123449802
Australia,AUS,health_expenditure_%_of_gdp_2021_or_latest,5.12
Australia,AUS,health_expenditure_per_person_2015,4492
Australia,AUS,health_expenditure_per_person_2018,5364.542969
Australia,AUS,health_expenditure_per_person_2019,5427.462402
Australia,AUS,infant_mortality_2020,3
Australia,AUS,"maternal_mortality_per_100,000_live_births_2017_(latest_year)",6
Australia,AUS,education_expenditure_%_of_gdp_2014,5.192669868
Australia,AUS,education_expenditure_%_of_gdp_2018,5.123449802
Australia,AUS,education_as_%_of_gdp_2018,5.123449802
Australia,AUS,%_of_primary_school_aged_kids_out_of_school_2018,0.428380013
Australia,AUS,%_of_primary_school_aged_kids_out_of_school_2021_or_latest_year,1.456110001
Australia,AUS,unemployment_(%)_2018,5.7
Australia,AUS,unemployment_(%)_2021,5.111999989
Australia,AUS,%_of_population_in_extreme_poverty_latest_year,0.4
Australia,AUS,%_of_population_with_access_to_electricity_2020,100
Australia,AUS,political_rights_score__2018,40
Australia,AUS,political_rights_score__2022,39
Australia,AUS,civil_liberties_score__2018,58
Australia,AUS,civil_liberties_score__2022,56
Australia,AUS,political_stability_&_absence_of_violence_2017,0.9
Australia,AUS,political_stability_&_absence_of_violence_2021,0.850988686
