country,iso_country_code_2018,population_2018,surface_area_(km2)_2018,gini_index_varies_by_country,happy_planet_index_2016,happy_planet_index_2019,human_development_index_2017,human_development_index_2021,sustainable_economic_development_assessment_(seda)_2018,gdp_growth_(annual_%)_2018,gdp_growth_(annual_%)_2021_or_latest_year,gdp_($_usd_billions_ppp)_2018,gdp_($_usd_billions_ppp)_2019,gdp_($_usd_billions_ppp)_2020,gdp_($_usd_billions_ppp)_2021,gdp_per_capita_in_$_(ppp)_2018,gdp_per_capita_in_$_(ppp)_2019,gdp_per_capita_in_$_(ppp)_2020,gdp_per_capita_in_$_(ppp)_2021,economic_growth_2018,economic_growth_2021_or_latest,health_expenditure_%_of_gdp_2014,health_expenditure_%_of_gdp_2015,health_expenditure_%_of_gdp_2016,health_expenditure_%_of_gdp_2017,health_expenditure_%_of_gdp_2018,health_expenditure_%_of_gdp_2019,health_expenditure_%_of_gdp_2020,health_expenditure_%_of_gdp_2021,health_expenditure_%_of_gdp_2021_or_latest,health_expenditure_per_person_2015,health_expenditure_per_person_2018,health_expenditure_per_person_2019,infant_mortality_2020,"maternal_mortality_per_100,000_live_births_2017_(latest_year)",education_expenditure_%_of_gdp_2014,education_expenditure_%_of_gdp_2018,education_expenditure_%_of_gdp_2021_or_latest_year,education_as_%_of_gdp_2018,education_as_%_of_gdp_2021_or_latest,%_of_primary_school_aged_kids_out_of_school_2018,%_of_primary_school_aged_kids_out_of_school_2021_or_latest_year,unemployment_(%)_2018,unemployment_(%)_2021,%_of_population_in_extreme_poverty_latest_year,%_of_population_with_access_to_electricity_2020,political_rights_score__2018,political_rights_score__2022,civil_liberties_score__2018,civil_liberties_score__2022,political_stability_&_absence_of_violence_2017,political_stability_&_absence_of_violence_2021,government_effectiveness_2017,government_effectiveness_2021,regulatory_quality_2017,regulatory_quality_2021,rule_of_law_2017,rule_of_law_2021,control_of_corruption_2017,control_of_corruption_2021,judicial_effectiveness_score_2018,judicial_effectiveness_score_2022,government_integrity_score_2018,government_integrity_score_2022,overall_economic_freedom_score_2017,overall_economic_freedom_score_2022,financial_freedom_score_2018,financial_freedom_score_2022,government_expenditure_(%_of_gdp)_2018,co2e_emissions_per_capita_2019,share_of_electricity_from_renewables_generation_2015,share_of_electricity_from_renewables_generation_2020_or_latest_year,%_of_seats_held_by_women_in_national_parliaments_2017,%_of_seats_held_by_women_in_national_parliaments_2018,%_of_seats_held_by_women_in_national_parliaments_2021,military_spending_as_%_of_gdp_2021,military_spending_as_%_of_gdp_2019
Bahrain,BHR,1300000,760,,,33.6,0.846,0.875,63.9,3.2,2.225351242,72.78693976,74.36420703,70.69369762,72.26688069,47485.6176,47224.23713,43821.12449,45411.12035,2.111130473,2.225351242,2.467459917,2.674540043,2.869999886,2.324520111,2.366607189,2.094912291,2.152053356,,2.15,2453,994.1790161,940.3956909,10.5,14,2.467459917,2.366607189,2.152053356,2.366607189,2.15,1.036579967,2.344500065,1.3,1.873999953,,100,2,2,10,10,-0.95,-0.505110562,0.19,0.717128277,0.41,0.849090099,0.45,0.470811009,-0.14,0.168159813,55.1,27.4,51.8,41.6,67.7,62,80,80,33.4,20.26610279,0.013,0.015061103,7.5,15,15,0.035582597,0.037
Bangladesh,BGD,165000000,130170,32.1,38.4,54.5,0.608,0.661,35.3,6.4,6.938675089,838.7982389,904.9116044,936.1131507,1001.067001,5321.940225,5784.269636,5995.407429,6613.013275,7.31941263,6.938675089,,,1.535539985,,,1.326320052,,,1.33,88,41.90407562,45.85716248,5.1,173,,,1.326320052,,1.326320052,,,4.1,5.229000092,,96.19999695,19,15,26,24,-1.25,-0.970162392,-0.74,-0.627411544,-0.81,-0.845715046,-0.67,-0.611260772,-0.83,-0.962003231,32.6,28.1,21.2,22.2,55.1,52.7,30,40,13.9,0.556529455,,0.039215686,20.3,20.28571429,20.85714286,0.012697767,0.013
Barbados,BRB,300000,430,,,,0.8,0.79,60.8,0.5,1.4,4.476086875,4.448770451,3.826772299,3.880347111,15988.77016,16153.97126,14045.77283,14816.86286,-1.027139116,1.4,6.143499851,5.382918835,4.707320213,4.366380215,5.428860188,3.203989983,3.05817008,6.453624725,6.45,1234,1164.544556,1143.322021,9.6,27,6.229410172,5.428860188,6.453624725,5.428860188,6.453624725,1.611789942,2.651609898,11.4,10.41300011,,100,38,38,58,57,0.98,1.122221947,0.84,0.538301587,0.49,0.560486197,0.66,0.374692202,1.42,1.242948413,54.4,88.2,53.8,68.7,57,71.3,60,60,45,4.355082032,0.01,0.033082006,16.7,20,20,,
Belarus,BLR,10000000,202900,26.5,21.7,42.9,0.808,0.808,59.9,-3.9,2.506742348,179.098112,181.6054855,179.9710362,184.4824464,19428.00746,20092.88037,20237.55113,21698.57409,3.149197594,2.506742348,4.818309784,4.787519932,4.946549892,4.794990063,5.381110191,4.97947979,4.952449799,,4.95,1085,351.0068054,399.3970947,10,2,4.818309784,5.381110191,4.952449799,5.381110191,4.95,1.302559972,5.244259834,0.5,4.736000061,0,100,6,2,15,6,0.03,-0.736605406,-0.35,-0.770816863,-0.74,-0.919227362,-0.82,-1.100141525,-0.26,-0.23533681,57.3,15.5,42,43.7,58.1,53,10,20,41.7,6.122237765,0.238,0.29778777,34.5,34.54545455,40,0.011558057,0.012
Belgium,BEL,11000000,30278,25.9,23.7,42.5,0.916,0.937,77.5,1.4,6.244721946,584.3688871,596.7080211,562.8106277,597.9565865,52535.23222,54278.38945,53070.21482,58930.93633,1.843899686,6.244721946,6.590469837,6.451570034,6.461730003,6.425340176,6.381370068,,,,6.38,4782,5134.414551,4960.393555,56.5,5,6.596849918,6.381370068,,6.381370068,,0.519879997,0.892660022,8.3,6.420000076,0.1,100,39,39,56,57,0.42,0.612554729,1.18,1.125090241,1.24,1.342472672,1.34,1.325958967,1.5,1.484489679,69.5,91.2,70.9,83.6,67.5,69.6,70,70,54.1,8.095583954,0.952,0.519580113,38,38,42,0.010818078,0.009
Belize,BLZ,400000,22806,,33.8,,0.708,0.683,48.5,1.5,9.753163244,2.738240647,2.792046974,2.32437549,2.551075626,7318.897839,7454.532388,6165.849669,6921.450076,2.044703177,9.753163244,6.614689827,6.870150089,7.29365015,7.45028019,7.472270012,7.138390064,7.528777599,8.707014084,8.71,524,285.9703369,293.4125977,,36,6.474110126,7.472270012,8.707014084,7.472270012,8.707014084,0.664810002,0.151250005,11,8.218999863,,97.11333466,36,34,50,53,0.05,0.460716963,-0.64,-0.488973141,-0.54,-0.415183604,-0.96,-0.778173029,-0.27,-0.304920167,53.5,70.2,34.7,38.1,57.1,56.6,50,50,33.9,1.639550009,0.026,0.031656203,9.4,9.375,12.5,0.012535839,0.012
Benin,BEN,11000000,110622,36.5,13.4,41.4,0.515,0.525,34.5,5.2,6.600001011,36.30167662,38.79403624,40.28713816,42.94608968,3236.292065,3426.049089,3505.138455,3789.273347,6.697259461,6.600001011,3.161789894,3.17298007,2.899100065,3.535589933,2.931619883,2.965199947,3.003662109,,3,84,31.07242012,29.12529182,52.8,397,4.321129799,2.931619883,3.003662109,2.931619883,3,2.788969994,6.724569798,1,1.574000001,4.8,41.41095734,33,17,49,42,0.05,-0.301340491,-0.64,-0.206672296,-0.47,-0.43148464,-0.62,-0.593543828,-0.55,-0.154652014,31.3,55.3,30.2,40.3,56.7,61,50,50,21.9,0.618583746,,,7.2,7.228915663,8.43373494,0.005606214,0.007
Bhutan,BTN,800000,38394,38.8,28.6,36.7,0.612,0.666,47.7,7.7,-10.07634116,8.561219215,9.053931934,8.141626865,,11619.55747,12365.51384,11129.30845,,3.055129837,-10.08,6.04489994,7.590099812,6.993330002,7.225739956,6.850840092,5.675891876,,,5.68,287,102.7385178,115.9807587,36.1,183,5.903329849,6.850840092,5.675891876,6.850840092,5.68,8.136190414,3.654220104,2.4,4.331999779,,100,28,29,27,32,1.13,0.973133087,0.56,0.796326637,-0.33,-0.368813068,0.63,0.635634661,1.57,1.553735256,51.6,60.9,50.9,73.5,61.8,59.3,30,30,30.5,1.375977209,1,0.999995532,8.5,14.89361702,17.0212766,,
Bolivia,BOL,11000000,1083301,47,23.3,45,0.693,0.692,44.8,4.8,6.105804204,98.26746087,100.4457612,91.66892676,97.26605194,8862.313088,9092.687044,8283.131195,9030.387681,4.223623653,6.105804204,8.260000229,8.93999958,8.850000381,8.659999847,8.899999619,,,,8.9,446,235.700882,245.9234772,13.1,155,7.285349846,8.899999619,,8.899999619,,6.787089825,4.900499821,3.7,8.508999825,0.9,97.55412292,28,27,39,39,-0.3,-0.318567306,-0.39,-0.731921494,-0.9,-1.153909087,-1.21,-1.163192868,-0.66,-0.86410296,11.4,28.4,23.1,28.7,44.1,43,40,40,42.2,1.940398005,0.325,0.356340916,53.1,53.07692308,46.15384615,0.015444583,0.014
Bosnia and Herzegovina,BIH,3900000,51187,33.8,25.3,47.8,0.768,0.78,50.2,2.8,7.102238832,47.82049656,49.17429549,47.64040637,51.02394181,14918.48516,15711.2377,15598.43034,16846.45586,3.740072968,7.102238832,,,,,,,,,,1102,539.9100342,553.822937,2.2,10,,,,,,13.28474045,,25.8,15.21500015,,100,21,19,34,34,-0.38,-0.380582392,-0.48,-1.041251063,-0.15,-0.178626731,-0.21,-0.278892189,-0.52,-0.643698514,43.7,37.2,28.4,33.4,61.4,63.4,60,60,44.1,6.382918043,0.367,0.372911452,21.4,21.42857143,26.19047619,0.008949383,0.009
Botswana,BWA,2200000,566730,60.5,16.6,31.9,0.717,0.693,44.1,-0.3,11.36413637,36.56639329,37.79096894,34.49317392,38.41302524,16609.96253,17096.78778,15471.09481,17603.72675,3.98039539,11.36413637,,7.806508541,7.974824905,7.299754143,6.721307278,6.914368629,8.739999771,,8.74,970,494.1954651,481.5330505,77.5,144,,6.721307278,8.739999771,6.721307278,8.739999771,,,18.4,24.72200012,,71.99475861,28,28,44,44,1.03,0.978377819,0.43,0.354068398,0.46,0.614231944,0.51,0.481632829,0.8,0.685204029,54.7,70.1,56.6,61.4,69.9,64.8,70,70,34.9,3.147107071,0,0.002438501,9.5,9.523809524,10.76923077,0.028596404,0.028
Brazil,BRA,209000000,8358140,49,34.3,54.6,0.759,0.754,51.6,-3.8,4.619421621,3072.549644,3110.058649,2989.42954,3127.523895,15018.6824,15358.08949,14834.1937,16056.01617,1.783666761,4.619421621,5.948480129,6.24105978,6.314040184,6.32047987,6.088510036,,,,6.09,1392,866.1553955,853.3879395,11.4,60,5.948480129,6.088510036,,6.088510036,,0.519060016,,11.5,14.40299988,0.7,100,31,31,47,42,-0.41,-0.485006988,-0.29,-0.460291952,-0.11,-0.110795245,-0.28,-0.280396819,-0.53,-0.477816075,55.5,57.2,31.4,40,51.4,53.3,50,50,40.5,2.057810839,0.75,0.859559309,10.7,15.00974659,15.20467836,0.011908098,0.015
Brunei,BRN,400000,5265,,,,0.853,0.829,72.5,-0.2,-1.605545148,25.90454465,26.90681994,27.21182848,26.77493029,61831.88885,64718.8325,65607.35075,66619.87094,0.052237791,-1.605545148,3.353189945,,4.425409794,,,,,,,2083,763.1456909,671.5626831,23.2,10,3.353189945,,,,,0.770210028,1.681169987,2,7.649000168,,100,6,7,22,21,1.19,1.168643951,1.14,1.454833269,0.72,0.993437648,0.65,0.890205741,0.71,1.25,57.1,51.6,45.4,61.1,64.2,64.8,50,50,37.5,16.13215855,0.001,0.0004313,9.1,9.090909091,9.090909091,0.032622296,0.033
Bulgaria,BGR,7000000,108489,40.2,20.4,40.1,0.813,0.795,59.9,3,4.177873584,155.9986094,162.2971969,155.1769757,161.6600735,23016.09064,24497.62727,24564.43768,26705.43886,2.684576131,4.177873584,,,,4.075270176,,,,,,1492,689.9053955,697.8963623,5.8,320,,,,,,13.30496025,,8,5.423999786,0.3,99.69999695,33,33,47,46,0.37,0.458269119,0.26,-0.139183074,0.63,0.448316187,-0.04,-0.043917593,-0.16,-0.235711768,42.5,61.1,38.2,45.6,68.3,71,60,60,36.3,5.61085728,0.188,0.21075184,23.8,23.75,23.75,0.01594889,0.032
Burkina Faso,BFA,19000000,273800,39.5,17.9,41.5,0.423,0.449,33.4,4,6.906341673,41.82992927,44.20926381,45.06264623,48.17482655,2168.408706,2267.320963,2273.831365,2461.942845,6.604569068,6.906341673,4.053299904,3.67008996,,5.628469944,5.488609791,5.696845055,5.519075871,,5.52,96,40.26911545,42.3445282,24.3,548,4.559939861,5.488609791,5.519075871,5.488609791,5.52,20.65831947,24.50433922,3,4.757999897,8.4,18.95723915,23,23,37,30,-0.92,-1.63874197,-0.59,-0.726333022,-0.44,-0.46693927,-0.4,-0.438472688,-0.11,-0.059376009,47.1,36.3,31.8,41.4,60,58.3,40,40,23.3,0.246046246,0.099,0.124527952,11,11.02362205,6.299212598,0.028911338,0.024
Burundi,BDI,11000000,25680,42.4,15.6,37.7,0.417,0.426,28.3,-4.1,1.795299998,8.510320913,8.664576039,8.692922797,8.848986839,779.7170375,783.1577656,771.1012372,793.2364344,1.609935421,1.795299998,6.784520149,6.370540142,4.691999912,4.762020111,5.078649998,5.346684456,5.040983677,,5.04,64,22.40539742,20.56754112,3.4,,,5.078649998,5.040983677,5.078649998,5.04,6.390890121,10.11093998,1.6,1.792000055,,11.73555565,4,4,14,10,-1.97,-1.363979816,-1.34,-1.331090689,-0.84,-0.984301567,-1.4,-1.29398632,-1.28,-1.580753326,21.7,7.1,26.2,12.2,50.9,39.4,30,30,26.7,0.062442671,0.87,0.655356652,36.4,36.36363636,38.21138211,0.019228018,0.018
Cabo Verde,CPV,500000,4033,,,,0.654,0.662,,1.8,6.952448694,3.732496854,3.944045537,3.360981311,3.594651813,7028.171433,7474.510419,6376.122279,7028.046846,4.531161684,6.952448694,4.963870049,5.266910076,5.288790226,5.181749821,5.368846893,4.733459949,7.584794998,,7.58,310,190.4555969,177.8902741,6.7,58,4.963870049,5.368846893,7.584794998,5.368846893,7.584794998,6.44506979,,10.5,,,94.16174316,37,38,53,54,0.9,,0.16,,-0.2,,0.41,,0.84,,52,77.4,42.8,60.9,60,66.7,60,60,30.8,1.181955675,0.307,0.189765458,23.6,23.61111111,38.88888889,,
Cambodia,KHM,16000000,176515,37.9,25.6,48,0.582,0.593,38.5,6.9,3.026389363,67.58839299,72.35615051,70.11599922,72.23798236,4258.705237,4574.028452,4423.474631,4683.004749,7.469169207,3.026389363,1.909389973,2.599999905,2.799999952,3.200000048,2.162859917,,,,2.16,210,92.90358734,113.3104401,39.2,160,1.90083003,2.162859917,,2.162859917,,9.309709549,10.84626007,0.3,15.42300034,,86.40000153,10,5,20,19,0.17,-0.132115364,-0.66,-0.422636479,-0.5,-0.644233465,-1.06,-0.900165737,-1.29,-1.176956654,24.5,20.9,17.7,12.3,58.7,57.1,50,50,21.2,0.98140655,0.477,0.500966437,20.3,20,21.6,0.023163644,0.023
Cameroon,CMR,24000000,472710,44.6,16.7,39.9,0.556,0.576,32.1,5.9,3.486599241,93.59898947,96.85161049,97.32803784,100.7214765,3800.52695,3900.822515,3867.203808,4064.466895,3.95551424,3.486599241,2.583960056,2.657919884,2.562340021,3.059629917,3.030960083,3.080876589,3.166161299,,3.17,163,53.17176819,53.99584961,63.8,529,,3.030960083,3.166161299,3.030960083,3.166161299,,,4.5,0.611999989,,64.72136688,9,6,13,9,-1.08,-1.406510592,-0.82,-0.875312626,-0.82,-0.922730327,-1.02,-1.097447872,-1.18,-1.09271419,29.4,10.9,23.4,19.9,51.9,52.9,50,50,21.6,0.364424922,0.77,0.643252284,31.1,31.11111111,33.88888889,0.010240893,0.011
Canada,CAN,37000000,9093507,32.1,23.9,40.2,0.926,0.936,76.9,1.2,4.562893863,1814.79849,1848.909298,1752.155425,1832.104417,49992.76228,49299.21177,46572.13743,52085.03569,2.777040554,4.562893863,,,,,,,,,,4600,5018.711426,5048.372559,3.926585474,10,,,,,,0.211909994,,7.1,3.86500001,,100,40,40,59,58,1.11,0.936902642,1.85,1.603892088,1.89,1.617245555,1.8,1.62713325,1.92,1.64609468,77.1,96.4,78.3,86.7,77.7,76.6,80,80,39.9,15.43061283,0.647,0.688224428,26.3,26.94610778,30.47337278,0.01315153,0.013
Central African Republic,CAF,4900000,622984,43.6,,25.2,0.367,0.404,16.1,4.3,0.900000007,4.354240946,4.489222415,4.529625417,4.570392046,955.402049,985.9877166,989.2187437,1020.533165,3.789443593,0.900000007,2.220153332,1.91022861,1.754088998,1.753650188,1.565876007,1.768712282,2.166697025,,2.17,32,53.6903801,37.19958115,4.4,829,,1.565876007,2.166697025,1.565876007,2.166697025,,,6.9,7.510000229,,15.46508408,4,3,5,4,-1.94,-2.104535341,-1.77,-1.644267082,-1.48,-1.490334511,-1.73,-1.666709781,-1.17,-1.226334929,28.2,12.3,24.6,18.3,49.2,45.7,30,30,13.4,0.050577648,0.862,0.99377236,8.6,8.571428571,12.85714286,0.018586751,0.015
Chad,TCD,15000000,1259200,43.3,12.8,30.4,0.404,0.394,20.4,1.8,-1.199990525,24.39786788,25.19011103,24.78706756,24.4896251,1613.979598,1646.293573,1591.669953,1590.55299,2.3740378,-1.199990525,2.599999905,2.400000095,2.299999952,2.454819918,2.25948,2.372459888,2.908510447,,2.91,100,29.69879913,29.85083008,11.55072955,1140,,2.25948,2.908510447,2.25948,2.908510447,25.72126007,,5.8,1.881999969,8.4,11.08011723,4,1,14,14,-1.34,-1.335539699,-1.46,-1.424023867,-1.21,-1.154978991,-1.3,-1.325092554,-1.43,-1.477722049,24.1,13.6,23.1,13.1,49.3,49.8,40,40,17.7,0.141093412,,,12.8,15.25423729,32.25806452,0.02794138,0.022
Chile,CHL,18000000,743812,50.5,31.7,45.6,0.843,0.855,62.6,2.1,11.6682247,468.8825687,472.4954945,444.2486551,496.0845864,25526.70552,25322.71106,25089.0313,29104.05809,3.990029478,11.6682247,4.730949879,4.875309944,5.342010021,5.419660091,5.433169842,,,,5.433169842,1903,1455.116699,1375.802979,5.5,13,4.722819805,5.433169842,,5.433169842,,1.283869982,,6.6,9.128000259,0.4,100,37,38,57,56,0.38,0.062636606,0.85,0.626065135,1.34,0.953365684,1.01,0.914349318,1.04,0.98372668,63.4,91.4,61.2,71.4,75.2,74.4,70,70,25,4.821118299,0.447,0.482731505,15.8,22.58064516,35.48387097,0.019633591,0.018
