country,iso_country_code_2018,metric,value,metric_type,latest,metric_no_year,ranking,metric_rank,country_strengths_order,country_weaknesses_order,country_strengths_order_by_broad_metric,country_weaknesses_order_by_broad_metric
Ecuador,ECU,population_2018,17000000.0,descriptive,1,population,high,66.0,2.0,2.0,2.0,2.0
Egypt,EGY,population_2018,98000000.0,descriptive,1,population,high,14.0,1.0,3.0,1.0,3.0
El Salvador,SLV,population_2018,6000000.0,descriptive,1,population,high,107.0,2.0,2.0,2.0,2.0
Equatorial Guinea,GNQ,population_2018,800000.0,descriptive,1,population,high,158.0,2.0,1.0,2.0,1.0
Eritrea,ERI,population_2018,5000000.0,descriptive,1,population,high,115.0,2.0,1.0,2.0,1.0
Estonia,EST,population_2018,1300000.0,descriptive,1,population,high,151.0,3.0,1.0,3.0,1.0
Eswatini,SWZ,population_2018,1100000.0,descriptive,1,population,high,155.0,3.0,1.0,3.0,1.0
Ethiopia,ETH,population_2018,105000000.0,descriptive,1,population,high,12.0,1.0,3.0,1.0,3.0
Fiji,FJI,population_2018,900000.0,descriptive,1,population,high,157.0,2.0,1.0,2.0,1.0
Finland,FIN,population_2018,6000000.0,descriptive,1,population,high,107.0,2.0,2.0,2.0,2.0
France,FRA,population_2018,67000000.0,descriptive,1,population,high,21.0,1.0,3.0,1.0,3.0
Gabon,GAB,population_2018,1900000.0,descriptive,1,population,high,146.0,3.0,1.0,3.0,1.0
"Gambia, The",GMB,population_2018,2100000.0,descriptive,1,population,high,142.0,2.0,2.0,2.0,2.0
Georgia,GEO,population_2018,3700000.0,descriptive,1,population,high,131.0,3.0,1.0,3.0,1.0
Germany,DEU,population_2018,83000000.0,descriptive,1,population,high,16.0,1.0,3.0,1.0,3.0
Ghana,GHA,population_2018,29000000.0,descriptive,1,population,high,48.0,1.0,3.0,1.0,3.0
Greece,GRC,population_2018,11000000.0,descriptive,1,population,high,79.0,1.0,3.0,1.0,3.0
Guatemala,GTM,population_2018,17000000.0,descriptive,1,population,high,66.0,2.0,2.0,2.0,2.0
Guinea,GIN,population_2018,13000000.0,descriptive,1,population,high,75.0,2.0,2.0,2.0,2.0
Guinea-Bissau,GNB,population_2018,1700000.0,descriptive,1,population,high,149.0,2.0,1.0,2.0,1.0
Guyana,GUY,population_2018,800000.0,descriptive,1,population,high,158.0,3.0,1.0,3.0,1.0
Haiti,HTI,population_2018,11000000.0,descriptive,1,population,high,79.0,2.0,2.0,2.0,2.0
Honduras,HND,population_2018,9000000.0,descriptive,1,population,high,94.0,2.0,2.0,2.0,2.0
Hungary,HUN,population_2018,10000000.0,descriptive,1,population,high,88.0,1.0,3.0,1.0,3.0
Iceland,ISL,population_2018,300000.0,descriptive,1,population,high,173.0,3.0,1.0,3.0,1.0
India,IND,population_2018,1339000000.0,descriptive,1,population,high,2.0,1.0,3.0,1.0,3.0
Indonesia,IDN,population_2018,264000000.0,descriptive,1,population,high,4.0,1.0,3.0,1.0,3.0
Iran,IRN,population_2018,81000000.0,descriptive,1,population,high,17.0,1.0,3.0,1.0,3.0
Iraq,IRQ,population_2018,38000000.0,descriptive,1,population,high,36.0,1.0,2.0,1.0,2.0
Ireland,IRL,population_2018,4700000.0,descriptive,1,population,high,120.0,3.0,1.0,3.0,1.0
Israel,ISR,population_2018,9000000.0,descriptive,1,population,high,94.0,2.0,2.0,2.0,2.0
Italy,ITA,population_2018,61000000.0,descriptive,1,population,high,23.0,1.0,3.0,1.0,3.0
Jamaica,JAM,population_2018,2800000.0,descriptive,1,population,high,138.0,2.0,2.0,2.0,2.0
Japan,JPN,population_2018,127000000.0,descriptive,1,population,high,11.0,1.0,3.0,1.0,3.0
Jordan,JOR,population_2018,10000000.0,descriptive,1,population,high,88.0,2.0,2.0,2.0,2.0
Kazakhstan,KAZ,population_2018,18000000.0,descriptive,1,population,high,63.0,2.0,2.0,2.0,2.0
Kenya,KEN,population_2018,50000000.0,descriptive,1,population,high,28.0,2.0,2.0,2.0,2.0
Korea (Dem. People’s Rep.),PRK,population_2018,25000000.0,descriptive,1,population,high,52.0,1.0,2.0,1.0,2.0
Korea (Rep.),KOR,population_2018,51000000.0,descriptive,1,population,high,27.0,1.0,3.0,1.0,3.0
Kosovo,,population_2018,1900000.0,descriptive,1,population,high,146.0,1.0,2.0,1.0,2.0
Kuwait,KWT,population_2018,4200000.0,descriptive,1,population,high,125.0,1.0,2.0,1.0,2.0
Kyrgyzstan,KGZ,population_2018,6000000.0,descriptive,1,population,high,107.0,3.0,1.0,3.0,1.0
Laos,LAO,population_2018,7000000.0,descriptive,1,population,high,103.0,3.0,1.0,3.0,1.0
Latvia,LVA,population_2018,2000000.0,descriptive,1,population,high,145.0,3.0,1.0,3.0,1.0
Lebanon,LBN,population_2018,4600000.0,descriptive,1,population,high,122.0,1.0,2.0,1.0,2.0
Lesotho,LSO,population_2018,1900000.0,descriptive,1,population,high,146.0,3.0,1.0,3.0,1.0
Liberia,LBR,population_2018,4400000.0,descriptive,1,population,high,124.0,3.0,1.0,3.0,1.0
Libya,LBY,population_2018,6000000.0,descriptive,1,population,high,107.0,2.0,1.0,2.0,1.0
Lithuania,LTU,population_2018,2900000.0,descriptive,1,population,high,136.0,3.0,1.0,3.0,1.0
Luxembourg,LUX,population_2018,600000.0,descriptive,1,population,high,163.0,2.0,2.0,2.0,2.0
Macedonia,MKD,population_2018,2100000.0,descriptive,1,population,high,142.0,2.0,2.0,2.0,2.0
Madagascar,MDG,population_2018,26000000.0,descriptive,1,population,high,51.0,2.0,2.0,2.0,2.0
Malawi,MWI,population_2018,19000000.0,descriptive,1,population,high,60.0,2.0,2.0,2.0,2.0
Malaysia,MYS,population_2018,32000000.0,descriptive,1,population,high,42.0,2.0,2.0,2.0,2.0
Maldives,MDV,population_2018,400000.0,descriptive,1,population,high,168.0,2.0,2.0,2.0,2.0
Mali,MLI,population_2018,19000000.0,descriptive,1,population,high,60.0,2.0,2.0,2.0,2.0
Malta,MLT,population_2018,400000.0,descriptive,1,population,high,168.0,2.0,2.0,2.0,2.0
Mauritania,MRT,population_2018,3800000.0,descriptive,1,population,high,130.0,3.0,1.0,3.0,1.0
Mauritius,MUS,population_2018,1300000.0,descriptive,1,population,high,151.0,2.0,2.0,2.0,2.0
Mexico,MEX,population_2018,129000000.0,descriptive,1,population,high,10.0,1.0,3.0,1.0,3.0
Moldova,MDA,population_2018,3600000.0,descriptive,1,population,high,132.0,1.0,3.0,1.0,3.0
Mongolia,MNG,population_2018,3000000.0,descriptive,1,population,high,134.0,3.0,1.0,3.0,1.0
Montenegro,MNE,population_2018,600000.0,descriptive,1,population,high,163.0,3.0,1.0,3.0,1.0
Morocco,MAR,population_2018,36000000.0,descriptive,1,population,high,39.0,1.0,3.0,1.0,3.0
Mozambique,MOZ,population_2018,30000000.0,descriptive,1,population,high,46.0,3.0,1.0,3.0,1.0
Myanmar,MMR,population_2018,53000000.0,descriptive,1,population,high,26.0,1.0,2.0,1.0,2.0
Namibia,NAM,population_2018,2300000.0,descriptive,1,population,high,140.0,3.0,1.0,3.0,1.0
Nepal,NPL,population_2018,29000000.0,descriptive,1,population,high,48.0,1.0,3.0,1.0,3.0
Netherlands,NLD,population_2018,17000000.0,descriptive,1,population,high,66.0,1.0,3.0,1.0,3.0
New Zealand,NZL,population_2018,4700000.0,descriptive,1,population,high,120.0,3.0,1.0,3.0,1.0
Nicaragua,NIC,population_2018,6000000.0,descriptive,1,population,high,107.0,3.0,1.0,3.0,1.0
Niger,NER,population_2018,21000000.0,descriptive,1,population,high,57.0,2.0,2.0,2.0,2.0
Nigeria,NGA,population_2018,191000000.0,descriptive,1,population,high,7.0,1.0,3.0,1.0,3.0
Norway,NOR,population_2018,5000000.0,descriptive,1,population,high,115.0,2.0,2.0,2.0,2.0
Oman,OMN,population_2018,4000000.0,descriptive,1,population,high,127.0,2.0,1.0,2.0,1.0
Pakistan,PAK,population_2018,197000000.0,descriptive,1,population,high,6.0,1.0,3.0,1.0,3.0
Panama,PAN,population_2018,4000000.0,descriptive,1,population,high,127.0,3.0,1.0,3.0,1.0
Papua New Guinea,PNG,population_2018,8000000.0,descriptive,1,population,high,99.0,3.0,1.0,3.0,1.0
Paraguay,PRY,population_2018,7000000.0,descriptive,1,population,high,103.0,3.0,1.0,3.0,1.0
Peru,PER,population_2018,32000000.0,descriptive,1,population,high,42.0,3.0,1.0,3.0,1.0
Philippines,PHL,population_2018,105000000.0,descriptive,1,population,high,12.0,1.0,3.0,1.0,3.0
Poland,POL,population_2018,38000000.0,descriptive,1,population,high,36.0,1.0,3.0,1.0,3.0
Portugal,PRT,population_2018,10000000.0,descriptive,1,population,high,88.0,1.0,3.0,1.0,3.0
Qatar,QAT,population_2018,2600000.0,descriptive,1,population,high,139.0,1.0,2.0,1.0,2.0
Romania,ROU,population_2018,20000000.0,descriptive,1,population,high,59.0,1.0,3.0,1.0,3.0
Russia,RUS,population_2018,144000000.0,descriptive,1,population,high,9.0,2.0,2.0,2.0,2.0
Rwanda,RWA,population_2018,12000000.0,descriptive,1,population,high,77.0,2.0,2.0,2.0,2.0
Saudi Arabia,SAU,population_2018,33000000.0,descriptive,1,population,high,41.0,3.0,1.0,3.0,1.0
Senegal,SEN,population_2018,16000000.0,descriptive,1,population,high,71.0,2.0,2.0,2.0,2.0
Serbia,SRB,population_2018,7000000.0,descriptive,1,population,high,103.0,2.0,2.0,2.0,2.0
Sierra Leone,SLE,population_2018,8000000.0,descriptive,1,population,high,99.0,2.0,2.0,2.0,2.0
Singapore,SGP,population_2018,6000000.0,descriptive,1,population,high,107.0,2.0,2.0,2.0,2.0
Slovakia,SVK,population_2018,5000000.0,descriptive,1,population,high,115.0,1.0,3.0,1.0,3.0
Slovenia,SVN,population_2018,2100000.0,descriptive,1,population,high,142.0,1.0,3.0,1.0,3.0
Solomon Islands,SLB,population_2018,600000.0,descriptive,1,population,high,163.0,2.0,1.0,2.0,1.0
Somalia,SOM,population_2018,15000000.0,descriptive,1,population,high,73.0,2.0,1.0,2.0,1.0
South Africa,ZAF,population_2018,57000000.0,descriptive,1,population,high,24.0,2.0,1.0,2.0,1.0
South Sudan,SSD,population_2018,13000000.0,descriptive,1,population,high,75.0,3.0,1.0,3.0,1.0
Spain,ESP,population_2018,47000000.0,descriptive,1,population,high,30.0,1.0,3.0,1.0,3.0
Sri Lanka,LKA,population_2018,21000000.0,descriptive,1,population,high,57.0,1.0,3.0,1.0,3.0
Sudan,SDN,population_2018,41000000.0,descriptive,1,population,high,34.0,2.0,1.0,2.0,1.0
Suriname,SUR,population_2018,600000.0,descriptive,1,population,high,163.0,2.0,1.0,2.0,1.0
Sweden,SWE,population_2018,10000000.0,descriptive,1,population,high,88.0,2.0,2.0,2.0,2.0
Switzerland,CHE,population_2018,8000000.0,descriptive,1,population,high,99.0,1.0,3.0,1.0,3.0
Syria,SYR,population_2018,18000000.0,descriptive,1,population,high,63.0,1.0,2.0,1.0,2.0
Taiwan,TWN,population_2018,24000000.0,descriptive,1,population,high,54.0,1.0,3.0,1.0,3.0
Tajikistan,TJK,population_2018,9000000.0,descriptive,1,population,high,94.0,2.0,2.0,2.0,2.0
Tanzania,TZA,population_2018,57000000.0,descriptive,1,population,high,24.0,1.0,3.0,1.0,3.0
Thailand,THA,population_2018,69000000.0,descriptive,1,population,high,20.0,1.0,3.0,1.0,3.0
Timor-Leste,TLS,population_2018,1200000.0,descriptive,1,population,high,154.0,2.0,2.0,2.0,2.0
Togo,TGO,population_2018,8000000.0,descriptive,1,population,high,99.0,2.0,2.0,2.0,2.0
Trinidad and Tobago,TTO,population_2018,1400000.0,descriptive,1,population,high,150.0,1.0,2.0,1.0,2.0
Tunisia,TUN,population_2018,12000000.0,descriptive,1,population,high,77.0,2.0,2.0,2.0,2.0
Turkiye,TUR,population_2018,81000000.0,descriptive,1,population,high,17.0,1.0,3.0,1.0,3.0
Turkmenistan,TKM,population_2018,6000000.0,descriptive,1,population,high,107.0,3.0,1.0,3.0,1.0
Uganda,UGA,population_2018,43000000.0,descriptive,1,population,high,33.0,1.0,3.0,1.0,3.0
Ukraine,UKR,population_2018,45000000.0,descriptive,1,population,high,31.0,1.0,3.0,1.0,3.0
United Arab Emirates,ARE,population_2018,9000000.0,descriptive,1,population,high,94.0,1.0,2.0,1.0,2.0
United Kingdom,GBR,population_2018,66000000.0,descriptive,1,population,high,22.0,1.0,3.0,1.0,3.0
United States,USA,population_2018,326000000.0,descriptive,1,population,high,3.0,1.0,2.0,1.0,2.0
Uruguay,URY,population_2018,3500000.0,descriptive,1,population,high,133.0,3.0,1.0,3.0,1.0
Uzbekistan,UZB,population_2018,32000000.0,descriptive,1,population,high,42.0,1.0,3.0,1.0,3.0
Venezuela,VEN,population_2018,32000000.0,descriptive,1,population,high,42.0,2.0,2.0,2.0,2.0
Vietnam,VNM,population_2018,96000000.0,descriptive,1,population,high,15.0,1.0,3.0,1.0,3.0
Yemen,YEM,population_2018,28000000.0,descriptive,1,population,high,50.0,2.0,2.0,2.0,2.0
Zambia,ZMB,population_2018,17000000.0,descriptive,1,population,high,66.0,3.0,1.0,3.0,1.0
Zimbabwe,ZWE,population_2018,17000000.0,descriptive,1,population,high,66.0,3.0,1.0,3.0,1.0
Afghanistan,AFG,surface_area_(km2)_2018,652230.0,descriptive,1,surface_area_(km2),high,40.0,2.0,1.0,2.0,1.0
Albania,ALB,surface_area_(km2)_2018,27398.0,descriptive,1,surface_area_(km2),high,143.0,3.0,1.0,3.0,1.0
Algeria,DZA,surface_area_(km2)_2018,2381740.0,descriptive,1,surface_area_(km2),high,10.0,1.0,3.0,1.0,3.0
Angola,AGO,surface_area_(km2)_2018,1246700.0,descriptive,1,surface_area_(km2),high,22.0,1.0,3.0,1.0,3.0
Argentina,ARG,surface_area_(km2)_2018,2736690.0,descriptive,1,surface_area_(km2),high,8.0,1.0,3.0,1.0,3.0
Armenia,ARM,surface_area_(km2)_2018,28203.0,descriptive,1,surface_area_(km2),high,138.0,3.0,1.0,3.0,1.0
Australia,AUS,surface_area_(km2)_2018,7682300.0,descriptive,1,surface_area_(km2),high,6.0,1.0,3.0,1.0,3.0
Austria,AUT,surface_area_(km2)_2018,82445.0,descriptive,1,surface_area_(km2),high,113.0,2.0,2.0,2.0,2.0
Azerbaijan,AZE,surface_area_(km2)_2018,82629.0,descriptive,1,surface_area_(km2),high,112.0,3.0,1.0,3.0,1.0
Bahamas,BHS,surface_area_(km2)_2018,10010.0,descriptive,1,surface_area_(km2),high,162.0,1.0,2.0,1.0,2.0
Bahrain,BHR,surface_area_(km2)_2018,760.0,descriptive,1,surface_area_(km2),high,170.0,2.0,1.0,2.0,1.0
Bangladesh,BGD,surface_area_(km2)_2018,130170.0,descriptive,1,surface_area_(km2),high,95.0,2.0,2.0,2.0,2.0
Barbados,BRB,surface_area_(km2)_2018,430.0,descriptive,1,surface_area_(km2),high,172.0,1.0,2.0,1.0,2.0
Belarus,BLR,surface_area_(km2)_2018,202900.0,descriptive,1,surface_area_(km2),high,82.0,1.0,3.0,1.0,3.0
Belgium,BEL,surface_area_(km2)_2018,30278.0,descriptive,1,surface_area_(km2),high,137.0,2.0,2.0,2.0,2.0
Belize,BLZ,surface_area_(km2)_2018,22806.0,descriptive,1,surface_area_(km2),high,148.0,1.0,2.0,1.0,2.0
Benin,BEN,surface_area_(km2)_2018,110622.0,descriptive,1,surface_area_(km2),high,99.0,3.0,1.0,3.0,1.0
Bhutan,BTN,surface_area_(km2)_2018,38394.0,descriptive,1,surface_area_(km2),high,132.0,2.0,2.0,2.0,2.0
Bolivia,BOL,surface_area_(km2)_2018,1083301.0,descriptive,1,surface_area_(km2),high,25.0,1.0,3.0,1.0,3.0
Bosnia and Herzegovina,BIH,surface_area_(km2)_2018,51187.0,descriptive,1,surface_area_(km2),high,125.0,2.0,2.0,2.0,2.0
Botswana,BWA,surface_area_(km2)_2018,566730.0,descriptive,1,surface_area_(km2),high,47.0,2.0,2.0,2.0,2.0
Brazil,BRA,surface_area_(km2)_2018,8358140.0,descriptive,1,surface_area_(km2),high,5.0,2.0,3.0,2.0,3.0
Brunei,BRN,surface_area_(km2)_2018,5265.0,descriptive,1,surface_area_(km2),high,164.0,1.0,2.0,1.0,2.0
Bulgaria,BGR,surface_area_(km2)_2018,108489.0,descriptive,1,surface_area_(km2),high,101.0,2.0,2.0,2.0,2.0
Burkina Faso,BFA,surface_area_(km2)_2018,273800.0,descriptive,1,surface_area_(km2),high,74.0,3.0,1.0,3.0,1.0
Burundi,BDI,surface_area_(km2)_2018,25680.0,descriptive,1,surface_area_(km2),high,144.0,3.0,1.0,3.0,1.0
Cabo Verde,CPV,surface_area_(km2)_2018,4033.0,descriptive,1,surface_area_(km2),high,166.0,1.0,2.0,1.0,2.0
Cambodia,KHM,surface_area_(km2)_2018,176515.0,descriptive,1,surface_area_(km2),high,88.0,3.0,1.0,3.0,1.0
Cameroon,CMR,surface_area_(km2)_2018,472710.0,descriptive,1,surface_area_(km2),high,52.0,2.0,2.0,2.0,2.0
Canada,CAN,surface_area_(km2)_2018,9093507.0,descriptive,1,surface_area_(km2),high,4.0,1.0,3.0,1.0,3.0
Central African Republic,CAF,surface_area_(km2)_2018,622984.0,descriptive,1,surface_area_(km2),high,43.0,1.0,2.0,1.0,2.0
Chad,TCD,surface_area_(km2)_2018,1259200.0,descriptive,1,surface_area_(km2),high,21.0,1.0,3.0,1.0,3.0
Chile,CHL,surface_area_(km2)_2018,743812.0,descriptive,1,surface_area_(km2),high,37.0,2.0,2.0,2.0,2.0
China,CHN,surface_area_(km2)_2018,9326410.0,descriptive,1,surface_area_(km2),high,2.0,2.0,2.0,2.0,2.0
Colombia,COL,surface_area_(km2)_2018,1038700.0,descriptive,1,surface_area_(km2),high,26.0,2.0,2.0,2.0,2.0
Comoros,COM,surface_area_(km2)_2018,2235.0,descriptive,1,surface_area_(km2),high,168.0,3.0,1.0,3.0,1.0
Congo (Dem. Rep.),COD,surface_area_(km2)_2018,2267048.0,descriptive,1,surface_area_(km2),high,11.0,1.0,3.0,1.0,3.0
Congo (Rep.),COG,surface_area_(km2)_2018,341500.0,descriptive,1,surface_area_(km2),high,63.0,2.0,2.0,2.0,2.0
Costa Rica,CRI,surface_area_(km2)_2018,51060.0,descriptive,1,surface_area_(km2),high,126.0,3.0,1.0,3.0,1.0
Cote d'Ivoire,CIV,surface_area_(km2)_2018,318003.0,descriptive,1,surface_area_(km2),high,65.0,3.0,1.0,3.0,1.0
Croatia,HRV,surface_area_(km2)_2018,55974.0,descriptive,1,surface_area_(km2),high,123.0,2.0,2.0,2.0,2.0
Cuba,CUB,surface_area_(km2)_2018,109820.0,descriptive,1,surface_area_(km2),high,100.0,2.0,1.0,2.0,1.0
Cyprus,CYP,surface_area_(km2)_2018,9241.0,descriptive,1,surface_area_(km2),high,163.0,3.0,1.0,3.0,1.0
Czech Republic,CZE,surface_area_(km2)_2018,77247.0,descriptive,1,surface_area_(km2),high,115.0,2.0,1.0,2.0,1.0
Denmark,DNK,surface_area_(km2)_2018,42434.0,descriptive,1,surface_area_(km2),high,129.0,2.0,1.0,2.0,1.0
Djibouti,DJI,surface_area_(km2)_2018,23180.0,descriptive,1,surface_area_(km2),high,147.0,2.0,2.0,2.0,2.0
Dominican Republic,DOM,surface_area_(km2)_2018,48320.0,descriptive,1,surface_area_(km2),high,127.0,3.0,1.0,3.0,1.0
Ecuador,ECU,surface_area_(km2)_2018,276841.0,descriptive,1,surface_area_(km2),high,73.0,3.0,1.0,3.0,1.0
Egypt,EGY,surface_area_(km2)_2018,995450.0,descriptive,1,surface_area_(km2),high,29.0,2.0,2.0,2.0,2.0
El Salvador,SLV,surface_area_(km2)_2018,20721.0,descriptive,1,surface_area_(km2),high,149.0,3.0,1.0,3.0,1.0
Equatorial Guinea,GNQ,surface_area_(km2)_2018,28051.0,descriptive,1,surface_area_(km2),high,140.0,1.0,2.0,1.0,2.0
Eritrea,ERI,surface_area_(km2)_2018,101000.0,descriptive,1,surface_area_(km2),high,103.0,1.0,2.0,1.0,2.0
Estonia,EST,surface_area_(km2)_2018,42388.0,descriptive,1,surface_area_(km2),high,130.0,2.0,2.0,2.0,2.0
Eswatini,SWZ,surface_area_(km2)_2018,17204.0,descriptive,1,surface_area_(km2),high,154.0,2.0,2.0,2.0,2.0
Ethiopia,ETH,surface_area_(km2)_2018,1000000.0,descriptive,1,surface_area_(km2),high,28.0,2.0,2.0,2.0,2.0
Fiji,FJI,surface_area_(km2)_2018,18274.0,descriptive,1,surface_area_(km2),high,152.0,1.0,2.0,1.0,2.0
Finland,FIN,surface_area_(km2)_2018,303815.0,descriptive,1,surface_area_(km2),high,70.0,1.0,3.0,1.0,3.0
France,FRA,surface_area_(km2)_2018,549970.0,descriptive,1,surface_area_(km2),high,48.0,2.0,2.0,2.0,2.0
Gabon,GAB,surface_area_(km2)_2018,257667.0,descriptive,1,surface_area_(km2),high,76.0,2.0,2.0,2.0,2.0
"Gambia, The",GMB,surface_area_(km2)_2018,10120.0,descriptive,1,surface_area_(km2),high,161.0,3.0,1.0,3.0,1.0
Georgia,GEO,surface_area_(km2)_2018,69700.0,descriptive,1,surface_area_(km2),high,118.0,2.0,2.0,2.0,2.0
Germany,DEU,surface_area_(km2)_2018,348672.0,descriptive,1,surface_area_(km2),high,62.0,2.0,2.0,2.0,2.0
Ghana,GHA,surface_area_(km2)_2018,227533.0,descriptive,1,surface_area_(km2),high,81.0,3.0,1.0,3.0,1.0
Greece,GRC,surface_area_(km2)_2018,130647.0,descriptive,1,surface_area_(km2),high,94.0,3.0,1.0,3.0,1.0
Guatemala,GTM,surface_area_(km2)_2018,107159.0,descriptive,1,surface_area_(km2),high,102.0,3.0,1.0,3.0,1.0
Guinea,GIN,surface_area_(km2)_2018,245717.0,descriptive,1,surface_area_(km2),high,77.0,3.0,1.0,3.0,1.0
Guinea-Bissau,GNB,surface_area_(km2)_2018,28120.0,descriptive,1,surface_area_(km2),high,139.0,1.0,2.0,1.0,2.0
Guyana,GUY,surface_area_(km2)_2018,196849.0,descriptive,1,surface_area_(km2),high,84.0,2.0,2.0,2.0,2.0
Haiti,HTI,surface_area_(km2)_2018,27560.0,descriptive,1,surface_area_(km2),high,142.0,3.0,1.0,3.0,1.0
Honduras,HND,surface_area_(km2)_2018,111890.0,descriptive,1,surface_area_(km2),high,98.0,3.0,1.0,3.0,1.0
Hungary,HUN,surface_area_(km2)_2018,89608.0,descriptive,1,surface_area_(km2),high,109.0,2.0,2.0,2.0,2.0
Iceland,ISL,surface_area_(km2)_2018,100250.0,descriptive,1,surface_area_(km2),high,104.0,1.0,3.0,1.0,3.0
India,IND,surface_area_(km2)_2018,2973193.0,descriptive,1,surface_area_(km2),high,7.0,2.0,2.0,2.0,2.0
